N,fnet,fsum,v,zeta
4,0.0003280244688088064,0.00047652573592284246,0.00043885051301884563,0.5577594922648149
5,0.00028470850152779737,0.0004355122572365089,0.00026045780712377327,0.7639651989329539
5,0.00020587446455027435,0.0005704700681552486,4.113148736184522e-05,0.6563119165989098
4,0.00022623322021318588,0.0003742945645717616,0.0005078932157826055,0.5524511205100316
6,0.0003014976192037769,0.00033828180334511483,0.00041690377414434703,0.7197664065078768
12,0.0008259113571690159,0.0013393521782841592,0.00036277648447881973,1.6652586568810395
4,0.0004484993592552185,0.00048725639176393497,0.00035714989793858695,0.5617803705416025
4,0.00037058415045845323,0.0003843427993045253,0.00010535176440926896,0.6022002551223655
4,0.00018590590467064928,0.00028875711739163206,0.00024370088093349243,0.5637054998467801
4,0.000432569828150568,0.000484937680723,0.00047729543399132744,0.49602955457461817
4,0.0005328735092404563,0.0005742288572118941,8.237779776254771e-05,0.5477897946361281
5,0.0005642495513941428,0.0006297093733998536,0.0002936696280774645,0.6016691266886547
4,0.0,0.0,0.00018623306044537646,0.44473344550704375
4,5.671660997812157e-06,5.69321634097158e-06,3.4983362008665774e-05,0.43854316993195624
3211,0.0016486277710346024,0.28695024516255374,2.1904740134155515e-06,392.1161725527333
63,0.0025569803084139484,0.007390143049912128,0.0002840916238499977,8.732938953441334
43,0.0008681616500606718,0.005178413933525535,0.00022850172805038827,5.775908781069708
9,0.0009770519729715608,0.0011047273425671602,0.00046502545447977883,1.2229254074742242
7,0.000835708082671525,0.0008773825609565755,0.0006135753895636545,0.9444044548946006
27,0.0015599722702006357,0.0029821691665838958,0.0004460069311384308,3.531597257875688
5,0.00016383055894000494,0.0004516464196637369,0.0003028644018002223,0.7172203214478089
29,0.0008051474489781385,0.003283878278829585,0.00012436259580028214,3.9351870887247453
33,0.002456089228020785,0.003690854255516181,0.0005586080238356242,4.3720871766838645
46,0.001625563413481074,0.004773744816569579,0.00019815287080363617,6.154460783233714
9,0.0006271600558640052,0.0010017962481829177,0.00014228883626116217,1.1890389121813616
6,0.0002676582569989384,0.0005382882055679708,0.0003574263977500159,0.8515511231046375
4,0.00030433209101273856,0.00034784234645015557,0.00041259283371907347,0.5545930984221648
28,0.0009282590071097848,0.003029474660166522,0.0001732697848257949,3.718673181003996
31,0.001018481047960623,0.0033307627161731717,0.00028359111120252405,4.150043750860166
4,0.0005153225070504833,0.0005346373486519482,0.00040298659475983424,0.5596461553963797
9,0.0009174445429847759,0.001108163105532622,0.0005643216524288767,1.1818990828001348
23,0.001221476251595882,0.0023128624218936903,0.00028345466023211186,2.958071167573162
6,0.00028467409441527855,0.0007444760733046067,0.00012942080469955462,0.8410934692885736
18,0.0019521769154605734,0.0022642102060230597,0.0006209439880815971,2.4262537669458526
14,0.0009481108423752084,0.0017472269934880303,0.0002543378571888211,1.8905550586215303
52,0.0011304404380854784,0.006207213504882258,0.00016090170213889024,6.933119544455558
4,0.00021679821832721778,0.0004142997646879599,0.00034239511178317457,0.5411584707694206
18,0.0010999370391110098,0.0022648086644378273,0.0003764105645870262,2.313755019149853
5,0.0005042817129984632,0.0005555563595524817,9.274444288834398e-05,0.6115319821939442
7,0.0006976543133987888,0.0010665070964643178,0.0002838437120195055,0.9932444727974901
5,0.00041254196271193707,0.0005781344659451511,0.00013068419781377282,0.724085345559409
4,0.000437773189830741,0.00045950071742116073,0.00025455131012674036,0.5567036014684688
6,0.0004176658106229314,0.0007150918009825347,0.00010610867355362047,0.8908686296385162
6,0.0004642567261407249,0.0006859655294487708,0.00015637675560601708,0.8233257256029018
7,0.0004091031371170117,0.0009425452960550757,0.0003696764330366907,0.9998600167494698
4,0.00031355406144633024,0.00032820865692035543,0.0006626673962899253,0.4975323078384899
9,0.0006929738916431505,0.0011830218381881598,0.00050040005735959,1.1632008647895313
4,0.00031550295578012193,0.00035168763131567795,0.0001957997712511175,0.6093480029214479
4,0.0003890511555581566,0.0004410770777029968,0.00046761575213590705,0.5538133478103979
6,0.000603843925844607,0.0007106198192503442,0.0003807188892280503,0.7728893633650592
5,0.00035758133113262175,0.0006819292301200417,0.00035738180152417026,0.7285259859061393
