t,Q,n_cl,lcf,nullQ,ARI,edge_jac,sigv2,file,case,seed,alpha,s_ratio,chi,ari_floor
100000.0,0.9196225135293916,19,0.9055,0.5154867581088866,0.5739164848554098,0.38910919818164236,3.966574749527785e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
102000.0,0.9189687465151026,17,0.912,,0.5470435843143372,0.388754709689885,3.375797662797233e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
104000.0,0.9160494696420993,23,0.902,,0.49138990589319664,0.3959980943306336,4.2716769759810024e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
106000.0,0.9136318102403044,20,0.919,,0.5161360262562256,0.38748680548891656,3.649426048861366e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
108000.0,0.9153326393185489,22,0.92975,,0.5256269608094108,0.38244937319189976,4.019734127375813e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
110000.0,0.914322726605974,17,0.936,,0.5191100515224708,0.3768548853343612,3.2540041028869776e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
112000.0,0.9149678168948581,18,0.93725,,0.51297524911359,0.36879637660210085,2.7034044151987317e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
114000.0,0.9141025144965923,22,0.92625,,0.5565649283013457,0.36297010607521696,3.290616030464923e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
116000.0,0.9141983292326228,14,0.93075,,0.5242959836114096,0.3581022320997198,3.6883690113496354e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
118000.0,0.9144867463751724,18,0.93175,,0.5307590798755712,0.3674687199230029,3.862139297936749e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
120000.0,0.9118117563989961,14,0.9555,,0.5445364317243127,0.37080924855491326,3.6349504293427692e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
122000.0,0.9148079232017307,11,0.94825,,0.5459456113799587,0.35608251397725077,3.0996748093600125e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
124000.0,0.9116682408085203,14,0.949,,0.5712872034752081,0.3538048171960464,3.3927946086936062e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
126000.0,0.9137292131396234,18,0.93275,,0.5536356372983958,0.3559126335033196,3.4403285162588472e-09,bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.6257537355636996
