chi,chi2,seed,J1,J2,N
0.5,0.75,2012,-2.166593930277992e-06,-0.00013248046003763714,1000
0.25,0.5,2012,-6.223565190662786e-06,-0.0001462315190545425,1000
0.75,0.5,2012,8.140444019757598e-07,-0.00014454746859945665,1000
0.5,0.25,2013,-5.896222723879011e-06,-0.0001539843782888948,1000
0.5,0.75,2013,-4.493014206601878e-06,-0.00013044700616187722,1000
0.25,0.5,2013,-7.512015848899356e-06,-0.0001422717458353845,1000
0.75,0.5,2013,-9.154834868951587e-07,-0.00014312365683883703,1000
0.5,0.25,2014,-6.339572926782347e-06,-0.00014955852819543319,1000
0.5,0.75,2014,-4.7651380659469776e-06,-0.00012525370686460678,1000
0.25,0.5,2014,-8.106099013394944e-06,-0.00014114485233700688,1000
0.75,0.5,2014,-1.9255635270857195e-06,-0.00013635550025120039,1000
0.5,0.25,2015,-5.950939055689193e-06,-0.00015537195693448804,1000
0.5,0.75,2015,-4.6686196518235675e-06,-0.0001316350566020073,1000
0.25,0.5,2015,-8.012602719657096e-06,-0.00014517916498227697,1000
0.75,0.5,2015,-2.0521160875939893e-06,-0.00014338746525912265,1000
0.5,0.25,2016,-5.998601616058973e-06,-0.00015066836766236492,1000
0.5,0.75,2016,-4.775851731937605e-06,-0.00012784162931709324,1000
0.25,0.5,2016,-7.752211407608783e-06,-0.0001427324290639753,1000
0.75,0.5,2016,-2.6650414760190333e-06,-0.00013848698557289158,1000
0.5,0.25,2017,-3.3518719757691497e-06,-0.00014094657564545543,1000
0.5,0.75,2017,-1.8437002362761074e-06,-0.00011884258155849061,1000
0.25,0.5,2017,-6.1689747473597185e-06,-0.00013007108415165312,1000
0.75,0.5,2017,2.3462263211331525e-06,-0.0001308616811507981,1000
0.5,0.25,2018,-6.168679320643517e-06,-0.00014396490140942663,1000
0.5,0.75,2018,-4.896314693744482e-06,-0.00012242481545568658,1000
0.25,0.5,2018,-8.228227069589163e-06,-0.00013462553758257595,1000
0.75,0.5,2018,-9.957424824772133e-07,-0.00013196013906244868,1000
0.5,0.25,2019,-6.2692990381129226e-06,-0.0001441151891013004,1000
0.5,0.75,2019,-4.805162065968762e-06,-0.00012095892758995423,1000
0.25,0.5,2019,-8.068322986561683e-06,-0.0001392088176756293,1000
0.75,0.5,2019,-2.287761776597015e-06,-0.00012932467400989325,1000
0.5,0.25,2020,-5.977745936205575e-06,-0.0001557865551568954,1000
0.5,0.75,2020,-4.565482778216985e-06,-0.0001315712303143883,1000
0.25,0.5,2020,-7.592705254441466e-06,-0.00014387230390324206,1000
0.75,0.5,2020,-2.166262494824967e-06,-0.00014367640426908045,1000
0.5,0.25,2021,-4.5373209772373386e-06,-0.00014779985670446442,1000
0.5,0.75,2021,-3.1459389489299728e-06,-0.00012478915293519949,1000
0.25,0.5,2021,-6.910433998042176e-06,-0.0001378616231334885,1000
0.75,0.5,2021,-1.590300958101982e-07,-0.00013626741722083454,1000
0.5,0.25,2022,-7.149262710287101e-06,-0.00017285659304829684,1000
