file,chi,N,seed,L,dt,nsnap,t_window,dUdt,epr,epr_sem,a_tilde,a_tilde_sem,b_tilde,b_tilde_sem,Qs,Qs_sem
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed4.npz,0.75,1000,4,12.0,0.05,51,50000.0,-1.5074945921799441e-06,0.0006656713931639534,0.001130376525704849,0.02755668379312605,9.701629065801732e-05,-0.019779950987292596,0.0015013714758343698,4.34295832687624,0.1129710999108597
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed5.npz,0.75,1000,5,12.0,0.05,51,50000.0,1.3578974553069628e-05,0.0007641305180597789,0.0011842064966769508,0.029569209437383732,0.00010764845411367395,-0.021158066387291424,0.00157395381033845,4.193096655004017,0.10863276562453152
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed1.npz,0.0,1000,1,12.0,0.05,51,50000.0,-8.44101061429865e-06,0.0,0.0,0.03016200167940637,0.00012005863795137678,-0.0003311270816247656,0.0015146964490196219,4.23569815481914,0.11408995868681011
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed2.npz,0.0,1000,2,12.0,0.05,51,50000.0,-6.8800770276407366e-06,0.0,0.0,0.030723600956942612,3.657404828676054e-05,0.0026027667347432305,0.0015336797406486108,4.398279345105627,0.13216818891222157
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed3.npz,0.0,1000,3,12.0,0.05,51,50000.0,-7.588296829722888e-06,0.0,0.0,0.02921975476226077,9.61637747469077e-05,0.0009144831913313525,0.0013493576916284934,4.043649765180385,0.0992135673377142
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed4.npz,0.0,1000,4,12.0,0.05,51,50000.0,-1.1096392288395719e-05,0.0,0.0,0.028855013127842062,4.104662369690144e-05,-0.003147830672167543,0.001327698050541689,4.385180169493269,0.13292826794347953
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed5.npz,0.0,1000,5,12.0,0.05,51,50000.0,-1.130292998109472e-05,0.0,0.0,0.030203576398115505,7.550396720996013e-05,0.0012518533745988541,0.0016081105095869077,3.9400915921633146,0.1273511106579237
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed2.npz,1.5,1000,2,12.0,0.05,51,50000.0,-1.946626333731676e-06,0.0051110628021541855,0.0020676376928936827,0.026659218374203562,6.963718886164714e-05,-0.036581452359869225,0.001395813948914884,5.011328716679048,0.1496321446030441
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed1.npz,1.5,1000,1,12.0,0.05,51,50000.0,-3.134565703319938e-06,0.0071123081051204145,0.0025198201079635746,0.026675212703700678,7.350000851085585e-05,-0.035271280318804075,0.0016729505557378213,5.1881951369506405,0.1469209190219225
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed3.npz,1.5,1000,3,12.0,0.05,51,50000.0,-6.85765683222241e-07,0.012580597047383275,0.0025049696625796852,0.025553336004936703,9.134774912753646e-05,-0.029942939309149534,0.0016873099955831063,4.92273788035708,0.12981255846682563
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed4.npz,1.5,1000,4,12.0,0.05,51,50000.0,-1.625606557290708e-06,0.005960176877381221,0.002526030148787237,0.024629772463092406,7.901865400956846e-05,-0.03297120744305113,0.0016799826485649713,4.753600287824823,0.11216734120468083
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed5.npz,1.5,1000,5,12.0,0.05,51,50000.0,-5.982266551076657e-06,0.010903380994657522,0.002393462508879342,0.026276015780080025,7.116184763693767e-05,-0.032145103007015015,0.0015924688183408578,4.676630724291636,0.1358886043658049
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed1.npz,1.0,1000,1,12.0,0.05,51,50000.0,-1.567804125491592e-05,0.003168772271950299,0.001534348711004888,0.026816081789314116,0.00014435231212750217,-0.02364730951736382,0.0015459471132024155,4.637815599594533,0.11031622294446566
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed2.npz,1.0,1000,2,12.0,0.05,51,50000.0,3.6596708936895226e-06,0.0026117852720210057,0.0014434332303733131,0.028070541387367295,0.0001176532993272029,-0.025458756115346287,0.0014515169428634107,4.342286341176586,0.1266690938815825
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed3.npz,1.0,1000,3,12.0,0.05,51,50000.0,-5.225904855180923e-06,0.004381524166127491,0.0013935595572666672,0.02542081945189416,7.29414012542473e-05,-0.02103929528576667,0.0014017178718193583,4.349799114236142,0.13531164275808427
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed4.npz,1.0,1000,4,12.0,0.05,51,50000.0,-2.011942936073402e-05,0.0032083109841537522,0.0014922444875679413,0.027036672660349828,0.0001256780334132426,-0.02382836167619608,0.0014813466576202733,4.530733002009265,0.1245296543872693
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed5.npz,1.0,1000,5,12.0,0.05,51,50000.0,-2.9804706753970978e-05,0.0016504445177173345,0.001629185588456999,0.028324461682620615,9.417686611200929e-05,-0.02667401716490328,0.001626075530219026,4.409652011481755,0.13038231144933443
bidisperse_a0.005_sr0.667_x2_N4000_L24_T800000_seed2.npz,2.0,4000,2,24.0,0.05,101,400000.0,-7.334831556042291e-07,0.010391170272745779,0.001342523552079391,0.02499089434140879,4.451162037877022e-05,-0.04478620354644469,0.0006672017981888937,6.544419313325584,0.056417820194910304
bidisperse_a0.005_sr0.667_x2_N4000_L24_T800000_seed1.npz,2.0,4000,1,24.0,0.05,101,400000.0,-4.294550616164213e-07,0.012372751872638477,0.0012027910451675374,0.025875326133975307,4.276468119258366e-05,-0.04556427633163137,0.0005938384247551925,6.660937098852452,0.05922783959554726
bidisperse_a0.005_sr0.667_x2_N4000_L24_T800000_seed3.npz,2.0,4000,3,24.0,0.05,101,400000.0,-1.2030968703943246e-06,0.013918176259922903,0.0014856203216800604,0.02548949700603028,5.292959411417949e-05,-0.044019905882099135,0.0007448183443416222,6.564516586195229,0.06125367305075455
bidisperse_a0.005_sr0.667_x3_N4000_L24_T800000_seed1.npz,3.0,4000,1,24.0,0.05,101,400000.0,4.2059811240153266e-07,0.025924770916779933,0.0023396453892106325,0.026481060718818,2.96653433169567e-05,-0.0708015918508607,0.0007861909884693931,8.385708120143528,0.06433736195742283
bidisperse_a0.005_sr0.667_x3_N4000_L24_T800000_seed2.npz,3.0,4000,2,24.0,0.05,101,400000.0,3.051470227674637e-07,0.023949327316694226,0.0022297673526004975,0.025749702200398454,4.182601494518303e-05,-0.06926599749563062,0.0007411177802780516,7.89084749196013,0.06695447842548354
bidisperse_a0.005_sr0.667_x3_N4000_L24_T800000_seed3.npz,3.0,4000,3,24.0,0.05,101,400000.0,2.4364033336151956e-07,0.02030724184711674,0.002514340441037984,0.025618641107819872,4.069540109602515e-05,-0.07008684270775405,0.0008378663458339083,8.668082370704873,0.06406704553343062
bidisperse_a0.005_sr0.667_x5_N4000_L24_T800000_seed1.npz,5.0,4000,1,24.0,0.05,101,400000.0,2.4498563428867705e-07,0.06434674585693863,0.00465505157935484,0.028514415090842713,3.788791762951088e-05,-0.12970272628282584,0.0009626998355152863,11.479060443239225,0.09743225452859493
