file,case,seed,alpha,s_ratio,chi,ari_floor,Q,Q_sd,dQ_null,ARI,edge_jac,n_cl,lcf,sigv2
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.5,0.6495453980884929,0.852165308403421,0.004672703836669269,0.34549875030143373,0.503995455920457,0.330120491420316,3.4313725490196076,0.9419411764705883,5.1204408753477244e-09
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.5,0.7828140293227535,0.8685187178220831,0.003562770890078924,0.34732178041633044,0.5640554723523765,0.3684621188250942,3.8627450980392157,0.8939607843137255,5.059316359931912e-09
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.5,0.7353705022218113,0.8583400834670541,0.004915996349674531,0.3470676124011126,0.5193667134033946,0.34911450256675636,2.4705882352941178,0.9818235294117645,4.3350495564305415e-09
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.5,0.6701972278102698,0.859471892700824,0.008049176078822676,0.34152470539041924,0.5186267414411415,0.36446967104783046,5.0588235294117645,0.9120588235294115,5.1140027899873836e-09
bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493,0.8556350295628273,0.003811621252221734,0.34299829401832305,0.513432391932524,0.3518691537771001,2.6666666666666665,0.9810980392156863,4.558277661406814e-09
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.75,0.7224671135509182,0.850349421047735,0.005787528793651469,0.3402124062627574,0.492764746330982,0.3308548622412351,9.588235294117647,0.9289607843137253,1.3627723792408172e-08
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.75,0.6590268077628809,0.848563201804881,0.003573598836040035,0.3254441461380375,0.47016971709300465,0.37051329738340927,14.352941176470589,0.9056666666666668,1.7397544237688008e-08
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.75,0.6333169500409658,0.8574915596100962,0.005905414837010254,0.33007279335874484,0.4892981941792138,0.381672301350093,14.235294117647058,0.8445490196078432,1.8900501928846997e-08
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.75,0.545549715449668,0.8504418146154317,0.0038506482807015457,0.3360469139502553,0.506275585802973,0.345973180107179,10.980392156862745,0.9204313725490197,1.3395935386163818e-08
bidisperse_a0.005_sr0.667_x0.75_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.75,0.6207528176059616,0.8552276127612711,0.0024769167276640137,0.33458670046581407,0.5132001608116031,0.35225807654325975,11.235294117647058,0.8669019607843138,1.3839095263120241e-08
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.0,0.6337831876992507,0.8724191709075316,0.003894879831609886,0.3714020207053307,0.6156858586247583,0.27434623031667354,3.019607843137255,0.6957647058823528,1.3975231361520582e-09
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,0.0,0.6511382404394411,0.8657031951808906,0.003026498913361661,0.36762850635590877,0.5837560609575041,0.26854816307788576,5.313725490196078,0.5225098039215686,1.5479255854315001e-09
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.0,0.6405395593445282,0.8695121848699321,0.003817682394493461,0.3693219294457074,0.6118028722491515,0.27369082109059995,3.2745098039215685,0.8049803921568629,1.4114053627067703e-09
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.0,0.6562021184481075,0.8654228167593219,0.004532137814449874,0.36774307046593435,0.6032421643743822,0.2636660607410506,4.215686274509804,0.4244705882352941,1.4362073987098252e-09
bidisperse_a0.005_sr0.667_x0_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.0,0.81365569145003,0.8738486666129254,0.004515498458358827,0.3687888001339016,0.6031818251431448,0.2857988141183953,1.0784313725490196,0.9960980392156863,1.4437585531897085e-09
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,1.5,0.661216206652636,0.8533271573895997,0.004073574165588105,0.3169674138648476,0.4943908179720516,0.3824017360599059,34.88235294117647,0.7807058823529412,8.447026510207407e-08
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,1.5,0.5918282924819362,0.8495323808149389,0.005787669382110145,0.3209648855553979,0.4832630691850012,0.3622913837854729,31.137254901960784,0.8385294117647059,6.488577940185241e-08
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,1.5,0.6374953145268486,0.8534981248692369,0.0038675041435373616,0.3201927471187901,0.4985205498323462,0.3713387929279669,33.3921568627451,0.7460196078431371,8.353415283153499e-08
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,1.5,0.658846295914863,0.8510107602511583,0.0044932839411797225,0.31533057720553836,0.48532029534619336,0.38033918527154315,33.254901960784316,0.8025294117647059,7.994237845684421e-08
bidisperse_a0.005_sr0.667_x1.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,1.5,0.7034587882500491,0.8604561395599334,0.004018079517384964,0.3149355999761425,0.48878714696581127,0.4092218859560817,32.88235294117647,0.801921568627451,7.962848145714261e-08
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,1.0,0.5576745892491525,0.846578987978121,0.008087581016371321,0.3277264390161465,0.4853329165251649,0.3433547026769068,21.235294117647058,0.8792352941176469,2.9787987097066354e-08
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,0.6666666666666666,1.0,0.6454006650357307,0.8535717445857478,0.0035172963765397365,0.31538248580626904,0.4787715760838249,0.3891170492268449,26.54901960784314,0.7942549019607843,4.0326397641673373e-08
