t,Q,n_cl,lcf,nullQ,ARI,edge_jac,sigv2,file,case,seed,alpha,s_ratio,chi,ari_floor
97000.0,0.8534824335505364,5,0.928,,0.5193548906518565,0.34237421383647804,5.0885293292089375e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.5,0.6701972278102698
98000.0,0.8550734730910479,4,0.928,,0.4969098403413361,0.34715639810426535,5.621444132829531e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.5,0.6701972278102698
99000.0,0.8561546474049849,5,0.925,,0.48614378077464604,0.3508080409932992,4.261291344167464e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.5,0.6701972278102698
100000.0,0.8527445727671171,7,0.928,0.5140815000948639,0.45250533125355186,0.3619122876333465,6.775072859481872e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.5,0.6701972278102698
0.0,0.9892313383406757,211,0.023,0.8702696722418067,,,,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
1000.0,0.9431650307853331,27,0.18,,0.16698914767719092,0.7728706624605678,2.404755407035273e-08,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
2000.0,0.9345547764859659,10,0.355,,0.601690538713027,0.5683453237410072,1.76488865574374e-08,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
3000.0,0.9263967748679282,15,0.256,,0.681820412566657,0.5178648299612569,1.2308222228376419e-08,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
4000.0,0.9226119339296468,11,0.259,0.569765422080125,0.7536626108698041,0.4800847457627119,9.864084232163934e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
5000.0,0.921205083834328,9,0.288,,0.738462348598194,0.46928327645051193,1.00068556520247e-08,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
6000.0,0.9097329530604478,7,0.381,,0.7022010440040857,0.48288814691151916,8.863048637265973e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
7000.0,0.9082620526304253,7,0.411,,0.6658175658439784,0.45356550580431176,9.5684267953248e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
8000.0,0.9006377654600358,11,0.418,0.549212737040023,0.6790810098552506,0.42425514057910196,9.782386616801117e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
9000.0,0.903679459605308,7,0.416,,0.7172279589864053,0.4308774834437086,7.424087297749159e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
10000.0,0.8960347186524666,8,0.416,,0.7231714297832842,0.4553971486761711,9.740124190629954e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
11000.0,0.8952408263479432,8,0.409,,0.6113138080877357,0.4354047424366312,1.0380264282255886e-08,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
12000.0,0.883805773553199,8,0.468,0.5435136944059077,0.5905539413830359,0.41639344262295086,1.0108732819091238e-08,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
13000.0,0.8832034512391101,7,0.515,,0.5963019380054533,0.40901639344262297,7.264406706442442e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
14000.0,0.8810881178458163,6,0.516,,0.6494403976432008,0.39821573398215737,6.240360670433457e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
15000.0,0.8766953788272568,6,0.518,,0.554516936939718,0.3788920339668419,6.6803037171364395e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
16000.0,0.873555353107115,4,0.519,0.5277877421251734,0.5763215836040666,0.3946945337620579,7.010796109097117e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
17000.0,0.8766277859453175,5,0.453,,0.5910070791059177,0.3751020408163265,6.091783402761097e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
18000.0,0.8766425189100379,6,0.452,,0.56071889896833,0.37671232876712324,5.289308884136819e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
19000.0,0.8757497343611249,4,0.523,,0.6324286046379718,0.3689281413087113,4.9700821304312606e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
20000.0,0.8707631634013269,3,0.525,0.5245036115072231,0.6454603324184238,0.3550607287449393,6.096250656227691e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
21000.0,0.8747615715753077,3,0.525,,0.5821873961379618,0.37070012140833675,4.188547305510552e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
22000.0,0.8677421155982515,6,0.501,,0.5678010767362673,0.36857027136492504,6.812741703256669e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
23000.0,0.8676655280809881,4,0.502,,0.5817109135186493,0.36672051696284325,5.002607169029953e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
24000.0,0.873658255424517,5,0.499,0.5283139933625393,0.6034822542206357,0.38439887414555685,5.788526419267226e-09,bidisperse_a0.005_sr0.667_x0.5_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,0.5,0.7203462574183493
