t,Q,n_cl,lcf,nullQ,ARI,edge_jac,sigv2,file,case,seed,alpha,s_ratio,ari_floor
70000.0,0.856022723081714,21,0.834,,0.49920365643411657,0.41784820683903257,4.4107596342605885e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
71000.0,0.8575663739247349,29,0.785,,0.47860479954256707,0.40725126475548057,4.0738467404653325e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
72000.0,0.8597572286114004,25,0.757,0.5370533379669155,0.5225330929094678,0.4000848536274926,5.226171700589489e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
73000.0,0.8553612570081583,28,0.772,,0.46664142006585096,0.3970276008492569,4.298736072782867e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
74000.0,0.8573604915840726,31,0.759,,0.4896086663937821,0.3851438385573207,4.983410705361639e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
75000.0,0.8563579789368369,29,0.771,,0.42483466766284106,0.3817480719794345,4.5342212119422015e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
76000.0,0.8597500283297231,22,0.791,0.5347237052953338,0.44047951050149936,0.3862098138747885,4.058652596538212e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
77000.0,0.8520147190228595,23,0.832,,0.4749447743062535,0.40226986128625475,3.003702949486641e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
78000.0,0.856518261666134,24,0.855,,0.4424736373786248,0.4062101233517652,3.981037697688639e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
79000.0,0.8507758173642002,22,0.829,,0.4291827446091153,0.4303586321934946,4.300563691285654e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
80000.0,0.8511428949352298,23,0.812,0.5335734935203473,0.4800582824394663,0.40497260851243155,3.703911403086661e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
81000.0,0.8532068723637812,17,0.841,,0.4352456258105906,0.39284192586280353,3.6026940756740476e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
82000.0,0.8577698979780739,19,0.822,,0.44211617550060467,0.4065934065934066,2.955495726738236e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
83000.0,0.8565478774729319,23,0.83,,0.5339477811993539,0.43129929431299296,3.1599728958648124e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
84000.0,0.8563509405027074,24,0.849,0.5363962615984218,0.5219034568884353,0.43129929431299296,3.3666769926340155e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
85000.0,0.8637793569482795,20,0.856,,0.45785357210793487,0.42833123160992015,4.454834724570003e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
86000.0,0.8593520594139373,25,0.826,,0.41575516383228217,0.43940024989587667,3.805057062636886e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
87000.0,0.8616073390644708,21,0.831,,0.4831382209194467,0.3951817413355875,4.426922772043891e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
88000.0,0.8573411591779652,33,0.788,0.5540352729868826,0.5145446485616851,0.4150783566285472,4.273211015370456e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
89000.0,0.8573999025220981,24,0.795,,0.41792468684825207,0.4182671788305591,4.2375957936225554e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
90000.0,0.8549780832905318,19,0.839,,0.41181926291686183,0.4371880199667221,3.6730806287975205e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
91000.0,0.8626758643557835,22,0.802,,0.4996840413194443,0.41666666666666663,3.361795962462273e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
92000.0,0.8576266596357854,22,0.799,0.542663889048725,0.5423050398492079,0.4167367535744323,3.680698649560482e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
93000.0,0.8569284983389004,19,0.805,,0.4967917508100545,0.428391959798995,3.618543508731339e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
94000.0,0.8554916971003379,24,0.866,,0.4319984477105081,0.4271398747390397,3.6624540317404564e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
95000.0,0.8571104124665454,30,0.847,,0.4851269896764079,0.3965589592950063,2.8773310284612873e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
96000.0,0.8573557016123792,27,0.847,0.5425835415735681,0.5005707117477246,0.38,3.292728364316522e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
97000.0,0.8564787359289928,20,0.848,,0.4829543223244578,0.41201175976480475,4.106368361313563e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
98000.0,0.8613161037449858,26,0.827,,0.4940355086681923,0.3942186845412652,3.608108892170697e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
99000.0,0.8627484483123776,20,0.886,,0.500011951333864,0.3858102434928632,3.836210459426857e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
100000.0,0.8615474035091847,17,0.885,0.5354044730858062,0.5102825411306233,0.40446650124069483,4.414070086139335e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,0.6110641876538256
0.0,0.9843287783920978,193,0.025,0.8167184777124724,,,,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
1000.0,0.9425858344986309,35,0.236,,0.19338618253321946,0.8172690763052208,4.392104977194484e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
2000.0,0.9303142942039127,23,0.277,,0.620073757339579,0.6935483870967742,3.5818782006827954e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
3000.0,0.9150762372723311,16,0.436,,0.6231462469233103,0.6067226890756303,3.417487423550723e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
4000.0,0.9156787503632153,14,0.442,0.5923723316515364,0.6270649380091798,0.5670757511637748,2.863798503353233e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
5000.0,0.911651908390761,22,0.37,,0.585791540997429,0.5742988698200084,3.1949784034128435e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
6000.0,0.8973707730014473,19,0.355,,0.5927315772713542,0.550251256281407,3.092280006499399e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
7000.0,0.8923127372837516,23,0.377,,0.5601023665425673,0.5067969413763806,2.6014578071263363e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
8000.0,0.8845643372538544,23,0.342,0.5693478406387109,0.6131663918395126,0.5040135192226447,3.6605630386010693e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
9000.0,0.8819441606939649,27,0.329,,0.5351958058742255,0.4745030250648228,4.314650792213824e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
10000.0,0.8768144858683333,20,0.569,,0.5481477635853252,0.48267117497886725,3.326358052530626e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
11000.0,0.8769256845613782,23,0.357,,0.5563802617197495,0.48706365503080085,2.8906871140866844e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
12000.0,0.875097903257031,16,0.924,0.5639762725103682,0.5345559054106253,0.46365173288250217,2.6989496183537028e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
13000.0,0.8821354465040256,20,0.551,,0.5590220129819066,0.48794926004228334,3.369350228107137e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
14000.0,0.879723664080056,24,0.877,,0.5265687470723859,0.49437734277384426,3.2426086476880664e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
15000.0,0.8720661333333334,19,0.915,,0.5485249690747488,0.4973544973544973,3.155069521656912e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
16000.0,0.8729268824421068,19,0.878,0.5501009116961307,0.6146766331444018,0.4567545304777595,2.792101855558014e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
17000.0,0.8710792309904065,17,0.857,,0.48285432774153936,0.4405158069883528,3.653093293738258e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
18000.0,0.8700154209971755,14,0.875,,0.5212679404842184,0.4549938347718866,3.505763012441394e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
19000.0,0.8755825075389992,18,0.877,,0.5618091670014137,0.4535361842105263,3.291727394945776e-08,bidisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,0.701169501289847
